step,tag,value,source
32768,train/explained_variance,0.24431198835372925,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/loss,50.086578369140625,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/policy_gradient_loss,-0.002265256131067872,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/value_loss,130.29278564453125,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,time/fps,55.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/approx_kl,0.0015691833104938269,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/clip_fraction,0.015380859375,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/entropy_loss,-0.36976489424705505,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/explained_variance,0.24648970365524292,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/loss,60.316490173339844,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/policy_gradient_loss,-0.0018917287234216928,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
36864,train/value_loss,126.79163360595703,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,time/fps,54.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/approx_kl,0.0037300027906894684,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/clip_fraction,0.03059895895421505,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/entropy_loss,-0.4552444517612457,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/explained_variance,0.3461242914199829,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/loss,54.70009231567383,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/policy_gradient_loss,-0.0032135837245732546,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
40960,train/value_loss,99.0429458618164,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
45056,time/fps,53.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
45056,train/approx_kl,0.002274386351928115,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
45056,train/clip_fraction,0.0152587890625,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
45056,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
